# source: http://niremf.ifac.cnr.it/docs/DIELECTRIC/AppendixC.html#C14
Tissue;ef;del1;tau1_(ps);alf1;del2;tau2_(ns);alf2;sig;del3;tau3_(us);alf3;del4;tau4_(ms);alf4
Aorta;4.000;40.00;8.842;0.100;50;3.183;0.100;0.250;1.00E+5;159.155;0.200;1.00E+7;1.592;0.000
Bladder;2.500;16.00;8.842;0.100;400;159.155;0.100;0.200;1.00E+5;159.155;0.200;1.00E+7;15.915;0.000
Blood;4.000;56.00;8.377;0.100;5200;132.629;0.100;0.700;0.00E+0;159.155;0.200;0.00E+0;15.915;0.000
Bone_(Cancellous);2.500;18.00;13.263;0.220;300;79.577;0.250;0.070;2.00E+4;159.155;0.200;2.00E+7;15.915;0.000
Bone_(Cortical);2.500;10.00;13.263;0.200;180;79.577;0.200;0.020;5.00E+3;159.155;0.200;1.00E+5;15.915;0.000
Bone_Marrow_(Infiltrated);2.500;9.00;14.469;0.200;80;15.915;0.100;0.100;1.00E+4;1591.549;0.100;2.00E+6;15.915;0.100
Bone_Marrow_(Not_Infiltrated);2.500;3.00;7.958;0.200;25;15.915;0.100;0.001;5.00E+3;1591.549;0.100;2.00E+6;15.915;0.100
Brain_(Grey_Matter);4.000;45.00;7.958;0.100;400;15.915;0.150;0.020;2.00E+5;106.103;0.220;4.50E+7;5.305;0.000
Brain_(White_Matter);4.000;32.00;7.958;0.100;100;7.958;0.100;0.020;4.00E+4;53.052;0.300;3.50E+7;7.958;0.020
Breast_fat;2.500;3.00;17.680;0.100;15;63.660;0.100;0.010;5.00E+4;454.700;0.100;2.00E+7;13.260;0.000
Cartilage;4.000;38.00;13.263;0.150;2500;144.686;0.150;0.150;1.00E+5;318.310;0.100;4.00E+7;15.915;0.000
Cerebellum;4.000;40.00;7.958;0.100;700;15.915;0.150;0.040;2.00E+5;106.103;0.220;4.50E+7;5.305;0.000
Cerebro_Spinal_Fluid;4.000;65.00;7.958;0.100;40;1.592;0.000;2.000;0.00E+0;159.155;0.000;0.00E+0;15.915;0.000
Cervix;4.000;45.00;7.958;0.100;200;15.915;0.100;0.300;1.50E+5;106.103;0.180;4.00E+7;1.592;0.000
Colon;4.000;50.00;7.958;0.100;3000;159.155;0.200;0.010;1.00E+5;159.155;0.200;4.00E+7;1.592;0.000
Cornea;4.000;48.00;7.958;0.100;4000;159.155;0.050;0.400;1.00E+5;15.915;0.200;4.00E+7;15.915;0.000
Dura;4.000;40.00;7.958;0.150;200;7.958;0.100;0.500;1.00E+4;159.155;0.200;1.00E+6;15.915;0.000
Eye_Tissues_(Sclera);4.000;50.00;7.958;0.100;4000;159.155;0.100;0.500;1.00E+5;159.155;0.200;5.00E+6;15.915;0.000
Fat_(Average_Infiltrated);2.500;9.00;7.958;0.200;35;15.915;0.100;0.035;3.30E+4;159.155;0.050;1.00E+7;15.915;0.010
Fat_(Not_Infiltrated);2.500;3.00;7.958;0.200;15;15.915;0.100;0.010;3.30E+4;159.155;0.050;1.00E+7;7.958;0.010
Gall_Bladder;4.000;55.00;7.579;0.050;40;1.592;0.000;0.900;1.00E+3;159.155;0.200;1.00E+4;15.915;0.000
Gall_Bladder_Bile;4.000;66.00;7.579;0.050;50;1.592;0.000;1.400;0.00E+0;159.155;0.200;0.00E+0;15.915;0.200
Heart;4.000;50.00;7.958;0.100;1200;159.155;0.050;0.050;4.50E+5;72.343;0.220;2.50E+7;4.547;0.000
Kidney;4.000;47.00;7.958;0.100;3500;198.944;0.220;0.050;2.50E+5;79.577;0.220;3.00E+7;4.547;0.000
Lens_Cortex;4.000;42.00;7.958;0.100;1500;79.577;0.100;0.300;2.00E+5;159.155;0.100;4.00E+7;15.915;0.000
Lens_Nucleus;3.000;32.00;8.842;0.100;100;10.610;0.200;0.200;1.00E+3;15.915;0.200;5.00E+3;15.915;0.000
Liver;4.000;39.00;8.842;0.100;6000;530.516;0.200;0.020;5.00E+4;22.736;0.200;3.00E+7;15.915;0.050
Lung_(Deflated);4.000;45.00;7.958;0.100;1000;159.155;0.100;0.200;5.00E+5;159.155;0.200;1.00E+7;15.915;0.000
Lung_(Inflated);2.500;18.00;7.958;0.100;500;63.662;0.100;0.030;2.50E+5;159.155;0.200;4.00E+7;7.958;0.000
Muscle;4.000;50.00;7.234;0.100;7000;353.678;0.100;0.200;1.20E+6;318.310;0.100;2.50E+7;2.274;0.000
Nerve;4.000;26.00;7.958;0.100;500;106.103;0.150;0.006;7.00E+4;15.915;0.200;4.00E+7;15.915;0.000
Ovary;4.000;40.00;8.842;0.150;400;15.915;0.250;0.300;1.00E+5;159.155;0.270;4.00E+7;15.915;0.000
Skin_(Dry);4.000;32.00;7.234;0.000;1100;32.481;0.200;0.000;0.00E+0;159.155;0.200;0.00E+0;15.915;0.200
Skin_(Wet);4.000;39.00;7.958;0.100;280;79.577;0.000;0.000;3.00E+4;1.592;0.160;3.00E+4;1.592;0.200
Small_Intestine;4.000;50.00;7.958;0.100;10000;159.155;0.100;0.500;5.00E+5;159.155;0.200;4.00E+7;15.915;0.000
Spleen;4.000;48.00;7.958;0.100;2500;63.662;0.150;0.030;2.00E+5;265.258;0.250;5.00E+7;6.366;0.000
Stomach;4.000;60.00;7.958;0.100;2000;79.577;0.100;0.500;1.00E+5;159.155;0.200;4.00E+7;15.915;0.000
Tendon;4.000;42.00;12.243;0.100;60;6.366;0.100;0.250;6.00E+4;318.310;0.220;2.00E+7;1.326;0.000
Testis;4.000;55.00;7.958;0.100;5000;159.155;0.100;0.400;1.00E+5;159.155;0.200;4.00E+7;15.915;0.000
Thyroid;4.000;55.00;7.958;0.100;2500;159.155;0.100;0.500;1.00E+5;159.155;0.200;4.00E+7;15.915;0.000
Tongue;4.000;50.00;7.958;0.100;4000;159.155;0.100;0.250;1.00E+5;159.155;0.200;4.00E+7;15.915;0.000
Trachea;2.500;38.00;7.958;0.100;400;63.662;0.100;0.300;5.00E+4;15.915;0.200;1.00E+6;15.915;0.000
Uterus;4.000;55.00;7.958;0.100;800;31.831;0.100;0.200;3.00E+5;159.155;0.200;3.50E+7;1.061;0.000
Vitreous_Humor;4.000;65.00;7.234;0.000;30;159.155;0.100;1.500;0.00E+0;159.155;0.000;0.00E+0;15.915;0.000
